coagulant,round,date,sample,dm_real,dm_expected,dose,volume,ntu,efficiency,removal,supernatant_ph,supernatant_ec,subnatant_proportion,subnatant_perc_dm,subnatant_ph,subnatant_ec,subnatant_gr_dm,dm_to_subnatant,ph_inisup,ph_inisub,ec_inisub,ec_inisup,turb_ini,effluent,subnatant_gr_dm_1000,dose_mg,dm_si,water_ml,supernatant,subnatant,vol_input_corrected,dm_input_corrected,treatment,dm_realgl
tanfloc,5,28/07/2023,5,0.0186,0.02,1994.01,7.1,1273.8,0.6775,2676.2,5.85,2750,0.149620156,0.104121475,6,1005,12.57058568,0.762274243,6.18,6.3,492,1996,3950,800.53,15.70282898,1596.264825,0.762274287,1.8,686.18,120.73,806.91,16.49089655,tanfloc,18.6
tanfloc,5,28/07/2023,6,0.0186,0.02,2500.38,8.9,160.7,0.9593,3789.3,5.77,2940,0.168517188,0.100594648,5.94,1119,13.6798662,0.809911936,6.18,6.3,492,1996,3950,800.26,17.09427711,2000.954099,0.809911879,0,670.99,135.99,806.98,16.89056006,tanfloc,18.6
tanfloc,5,28/07/2023,7,0.0186,0.02,3005.55,10.7,46,0.9883,3904,5.79,3010,0.178513712,0.10356832,5.87,1226,15.10129678,0.873015722,6.18,6.3,492,1996,3950,800.4,18.86718738,2405.64222,0.873015612,8.9,670.99,145.81,816.8,17.29785202,tanfloc,18.6
tanfloc,5,28/07/2023,8,0.0186,0.02,3509.4,12.5,19.4,0.9951,3930.6,5.66,3019,0.189045288,0.100318471,5.79,1290,15.4941879,0.874884475,6.18,6.3,492,1996,3950,800.8,19.34838649,2810.32752,0.874884458,7.1,662.55,154.45,817,17.70998153,tanfloc,18.6
tanfloc,5,28/07/2023,9,0.0186,0.02,3988.12,14.2,17.8,0.9955,3932.2,5.6,3270,0.194795494,0.101596517,5.72,1341,16.16095791,0.893522711,6.18,6.3,492,1996,3950,800.51,20.18832733,3192.529941,0.893522796,5.4,657.53,159.07,816.6,18.08679031,tanfloc,18.6
tanfloc,5,28/07/2023,10,0.0186,0.02,4495.01,16,16.9,0.9957,3933.1,5.52,3360,0.206073301,0.097077761,5.61,1403,16.33139178,0.883398127,6.18,6.3,492,1996,3950,800.27,20.40735224,3597.221653,0.883397991,3.6,648.13,168.23,816.36,18.487012,tanfloc,18.6
tanfloc,5,28/07/2023,11,0.0186,0.02,4999.95,17.8,13.1,0.9967,3936.9,5.48,3480,0.210305315,0.092321349,5.47,1463,15.8598846,0.839416842,6.18,6.3,492,1996,3950,800.39,19.81519584,4001.909981,0.839416661,1.8,645.07,171.79,816.86,18.89393184,tanfloc,18.6
tanfloc,5,28/07/2023,12,0.0186,0.02,5504.11,19.6,10.4,0.9974,3939.6,5.4,3590,0.201723885,0.104211663,5.4,1477,17.16991361,0.889516399,6.18,6.3,492,1996,3950,800.6,21.44630728,4406.590466,0.889516517,0,652,164.76,816.76,19.30252622,tanfloc,18.6
tanfloc,4,8/06/2022,1,0.033,0.03,0,0,7141,0,0,6.87,4330,0.204240814,0.099521531,7.1,1479,16.75644019,0.641602879,6.87,7.1,1479,4330,7141,800.39,20.93534426,0,0.634404371,30,655.69,168.37,824.06,26.11652901,control,33
tanfloc,4,8/06/2022,2,0.033,0.03,3725.53,15,1713,0.7601,5428,6.45,5670,0.26154238,0.104804646,6.75,1741,22.60217001,0.776632981,6.87,7.1,1479,4330,7141,800.51,28.23471288,2982.32402,0.768803415,15,608.68,215.66,824.34,29.10276868,tanfloc,33
tanfloc,4,8/06/2022,3,0.033,0.03,4968.06,20,305.2,0.9573,6835.8,6.37,5950,0.269323686,0.125304878,6.61,1901,27.7988872,0.923757075,6.87,7.1,1479,4330,7141,800.4,34.73124338,3976.435224,0.914748959,10,601.54,221.85,823.39,30.09328744,tanfloc,33
tanfloc,4,8/06/2022,4,0.033,0.03,6456.7,26,18.9,0.9974,7122.1,6.29,6380,0.273288304,0.120139108,6.46,1924,27.02649383,0.863648489,6.87,7.1,1479,4330,7141,800.62,33.75695565,5169.363154,0.855544322,4,597.91,224.96,822.87,31.29339563,tanfloc,33
tanfloc,4,8/06/2022,5,0.033,0.03,7450.97,30,10.57,0.9985,7130.43,6.22,6600,0.283207655,0.132909564,6.33,2290,30.99849754,0.966124128,6.87,7.1,1479,4330,7141,800.52,38.72295201,5964.650504,0.957281173,0,590.07,233.23,823.3,32.08541908,tanfloc,33
tanfloc,4,8/06/2022,6,0.033,0.03,8698.01,35,10.92,0.9985,7130.08,6.13,6910,0.287461147,0.118428825,6.26,2340,28.25830183,0.854658159,6.87,7.1,1479,4330,7141,800.04,35.32111123,6958.75592,0.84706947,0,591.1,238.61,829.71,33.06386483,tanfloc,33
tanfloc,4,7/06/2022,1,0.033,0.03,0,0,6472,0,0,6.86,4360,0.197321363,0.103763988,7.13,1367,16.83155646,0.644575714,6.86,7.13,1367,4360,6472,800.27,21.03234716,0,0.637343853,30,659.34,162.21,821.55,26.11261344,control,33
tanfloc,4,7/06/2022,2,0.033,0.03,3725.9,15,1499,0.7684,4973,6.47,5710,0.261308307,0.105777522,6.8,1715,22.70726071,0.780313993,6.86,7.13,1367,4360,6472,800.43,28.36882764,2982.322137,0.772447446,15,606.31,214.67,820.98,29.1001583,tanfloc,33
tanfloc,4,7/06/2022,3,0.033,0.03,4967.87,20,185,0.9714,6287,6.4,6020,0.268627117,0.115395362,6.62,1949,25.47814194,0.846611167,6.86,7.13,1367,4360,6472,800.43,31.83056849,3976.432184,0.838355391,10,600.84,220.79,821.63,30.09426633,tanfloc,33
tanfloc,4,7/06/2022,4,0.033,0.03,5714.62,23,34.37,0.9947,6437.63,6.37,6090,0.272800292,0.115562914,6.48,1983,25.90458278,0.844249788,6.86,7.13,1367,4360,6472,800.21,32.37223076,4572.89607,0.836175862,7,597.1,224.16,821.26,30.68355261,tanfloc,33
tanfloc,4,7/06/2022,5,0.033,0.03,6455.17,26,20.25,0.9969,6451.75,6.32,6190,0.276832866,0.111411411,6.44,2090,25.40514414,0.811676442,6.86,7.13,1367,4360,6472,800.81,31.72430931,5169.364688,0.804059628,4,595.18,228.03,823.21,31.29959528,tanfloc,33
tanfloc,4,7/06/2022,6,0.033,0.03,7454.41,30,13.36,0.9979,6458.64,6.26,6440,0.283366182,0.109347952,6.38,2160,25.46823139,0.794062189,6.86,7.13,1367,4360,6472,800.15,31.82932124,5964.646162,0.786794845,0,588.62,232.91,821.53,32.07334607,tanfloc,33
tanfloc,3,12/10/2021,1,0.026,0.03,0,0,8135,0,0,6.09,4110,0.125494781,0.125102881,6.06,123.9,12.89060082,0.609707955,6.09,6.06,123.9,4110,8135,800.45,16.10419242,0,0.619392016,24,717.16,103.04,820.2,21.14225462,control,26
tanfloc,3,12/10/2021,3,0.026,0.03,4672.66,16,163.3,0.9799,7971.7,5.49,6950,0.217930615,0.125311203,5.72,205,22.43446473,0.901672934,6.09,6.06,123.9,4110,8135,800.4,28.02906638,3739.997064,0.913812704,8,642.01,179.03,821.04,24.88093397,tanfloc,26
tanfloc,3,12/10/2021,4,0.026,0.03,5255.56,18,203,0.975,7932,5.42,7380,0.221542735,0.128583129,5.65,219,23.38412776,0.922334796,6.09,6.06,123.9,4110,8135,800.58,29.20898319,4207.496225,0.934521192,6,638.57,181.86,820.43,25.3531883,tanfloc,26
tanfloc,3,12/10/2021,5,0.026,0.03,5841.27,20,254.1,0.9688,7880.9,5.34,7870,0.223625195,0.130434783,5.57,229,23.93217391,0.927088021,6.09,6.06,123.9,4110,8135,800.34,29.90250882,4675.002032,0.939111688,4,636.74,183.48,820.22,25.81434919,tanfloc,26
tanfloc,3,12/10/2021,6,0.026,0.03,7009.78,24,404.1,0.9503,7730.9,5.22,8730,0.227678408,0.133333333,5.41,246,24.864,0.929545477,6.09,6.06,123.9,4110,8135,800.31,31.06796117,5609.997032,0.941174439,0,632.36,186.48,818.84,26.7485568,tanfloc,26
tanfloc,1,20/04/2021,1,0.031,0.03,0,0,6470,0,0,6.88,3890,0.178297487,0.114005736,6.92,795,17.30493069,0.708465758,6.88,6.92,795,3890,6470,800.24,21.62467596,0,0.697570192,60,698.56,151.79,850.35,24.42592391,control,31
tanfloc,1,20/04/2021,2,0.031,0.03,2113.41,6,4126.5,0.3622,2343.5,6.69,4680,0.217549203,0.113141096,6.66,1369,21.01030156,0.804101653,6.88,6.92,795,3890,6470,800.6,26.24319455,1691.996046,0.792524677,54,666.83,185.7,852.53,26.12891228,tanfloc,31
tanfloc,1,20/04/2021,3,0.031,0.03,4228.47,12,762,0.8822,5708,6.45,5440,0.243164303,0.114182148,6.58,1659,23.66995922,0.851086842,6.88,6.92,795,3890,6470,800.29,29.57672746,3384.002256,0.83956889,48,643.44,207.3,850.74,27.81145007,tanfloc,31
tanfloc,1,20/04/2021,4,0.031,0.03,8458.52,24,8.76,0.9986,6461.24,6.42,6780,0.239058426,0.126884139,6.49,2040,25.82346007,0.827917232,6.88,6.92,795,3890,6470,800.14,32.27367719,6768.000193,0.817914032,36,646.03,203.52,849.55,31.19087159,tanfloc,31
tanfloc,1,20/04/2021,5,0.031,0.03,10566.41,30,6.85,0.9989,6463.15,6.26,7550,0.246760101,0.120507855,6.2,2370,25.35485259,0.770700793,6.88,6.92,795,3890,6470,800.65,31.66783562,8459.996167,0.761861215,30,639.71,210.4,850.11,32.89843844,tanfloc,31
tanfloc,4,2/06/2022,1,0.022,0.02,0,0,4098,0,0,6.92,2820,0.148243611,0.108859566,7.09,1033,13.14805844,0.735744397,6.92,7.09,1033,2820,4098,800.07,16.43363511,0,0.746983414,20,693.71,120.78,814.49,17.87041598,control,22
tanfloc,4,2/06/2022,2,0.022,0.02,1987.07,8,1194,0.7086,2904,6.69,3450,0.177171831,0.116462976,6.89,1230,16.80677211,0.863227075,6.92,7.09,1033,2820,4098,800.46,20.99639221,1590.570052,0.875321255,12,670.04,144.31,814.35,19.4696999,tanfloc,22
tanfloc,4,2/06/2022,3,0.022,0.02,2978.71,12,173.4,0.9577,3924.6,6.61,3770,0.194683864,0.119430925,6.74,1316,18.96443654,0.935297063,6.92,7.09,1033,2820,4098,800.97,23.67683751,2385.857349,0.947880716,8,656.66,158.79,815.45,20.27637772,tanfloc,22
tanfloc,4,2/06/2022,4,0.022,0.02,3476.08,14,55.05,0.9866,4042.95,6.58,3890,0.198497144,0.117881322,6.64,1469,19.0885225,0.923519154,6.92,7.09,1033,2820,4098,800.76,23.83800702,2783.505821,0.935701529,6,652.93,161.93,814.86,20.66933036,tanfloc,22
tanfloc,4,2/06/2022,5,0.022,0.02,3974.3,16,19.41,0.9953,4078.59,6.52,4020,0.207841743,0.108612805,6.58,1597,18.40661204,0.874024659,6.92,7.09,1033,2820,4098,800.43,22.99590475,3181.148949,0.885332993,4,645.71,169.47,815.18,21.05960268,tanfloc,22
tanfloc,4,2/06/2022,6,0.022,0.02,4969.98,20,13.73,0.9966,4084.27,6.42,4300,0.217783458,0.104113578,6.48,1657,18.45204951,0.844591957,6.92,7.09,1033,2820,4098,800.09,23.06246736,3976.431298,0.85511622,0,636.56,177.23,813.79,21.84729484,tanfloc,22
tanfloc,4,2/06/2022,7,0.022,0.02,0,0,4010,0,0,6.9,3040,0.136146487,0.105872952,7.13,989,11.73707551,0.676862209,6.9,7.13,989,3040,4010,800.34,14.66511172,0,0.666595987,20,703.29,110.86,814.15,17.34042077,control,22
tanfloc,4,2/06/2022,8,0.022,0.02,1986.85,8,1021,0.7454,2989,6.66,3820,0.17786537,0.11131899,7,1226,16.12455566,0.851549659,6.9,7.13,989,3040,4010,800.55,20.14184706,1590.572768,0.839703715,12,669.32,144.85,814.17,18.93554355,tanfloc,22
tanfloc,4,2/06/2022,9,0.022,0.02,2981.84,12,91.96,0.9771,3918.04,6.61,4120,0.186445054,0.1031477,6.76,1387,15.64338015,0.793205264,6.9,7.13,989,3040,4010,800.13,19.55104814,2385.859639,0.782610414,8,661.5,151.66,813.16,19.72173012,tanfloc,22
tanfloc,4,2/06/2022,10,0.022,0.02,3477.42,14,39.44,0.9902,3970.56,6.51,4550,0.201347544,0.109831345,6.59,1463,18.05187988,0.89692959,6.9,7.13,989,3040,4010,800.45,22.55216426,2783.500839,0.885182419,6,651.59,164.36,815.95,20.12630656,tanfloc,22
tanfloc,4,2/06/2022,11,0.022,0.02,3974.25,16,11.83,0.997,3998.17,6.51,4560,0.204059606,0.107612595,6.61,1617,17.9045835,0.872384347,6.9,7.13,989,3040,4010,800.44,22.36842674,3181.14867,0.861177002,4,648.71,166.38,815.09,20.52373311,tanfloc,22
tanfloc,4,2/06/2022,12,0.022,0.02,4965.7,20,10.25,0.9974,3999.75,6.4,4780,0.208310847,0.09991274,6.47,1652,16.96917976,0.795689419,6.9,7.13,989,3040,4010,800.78,21.19081366,3976.433246,0.785843262,0,644.19,169.84,814.03,21.32638608,tanfloc,22
tanfloc,4,30/05/2022,1,0.011,0.01,0,0,1345,0,0,7.1,1766,0.084678166,0.08940231,7.11,681,6.131210447,0.6803363,7.1,7.11,681,1766,1345,800.66,7.65769546,0,0.696154133,14,737.44,68.58,806.02,9.012028971,control,11
tanfloc,4,30/05/2022,2,0.011,0.01,993.51,4,312.4,0.7677,1032.6,6.91,2230,0.101924192,0.10926949,7,799,9.023474524,0.920266011,7.1,7.11,681,1766,1345,800.48,11.27257961,795.2848848,0.939889958,10,725.99,82.58,808.57,9.805289363,tanfloc,11
tanfloc,4,30/05/2022,3,0.011,0.01,1490.98,6,30.74,0.9771,1314.26,6.78,2460,0.113325354,0.110311751,6.87,878,10.13103118,0.993369301,7.1,7.11,681,1766,1345,800.1,12.6622062,1192.933098,NA,8,717.66,91.84,809.5,10.19865539,tanfloc,11
tanfloc,4,30/05/2022,4,0.011,0.01,1987.77,8,4.08,0.997,1340.92,6.67,2650,0.124790227,0.090108969,6.72,984,9.112720034,0.859917793,7.1,7.11,681,1766,1345,800.18,11.38833767,1590.573799,0.876850889,6,707.38,101.13,808.51,10.59719907,tanfloc,11
tanfloc,4,30/05/2022,5,0.011,0.01,2483.44,10,4,0.997,1341.01,6.54,2850,0.132746422,0.091911765,6.66,942,9.881433824,0.898356501,7.1,7.11,681,1766,1345,800.59,12.34268955,1988.21723,0.915396186,4,696.91,107.51,804.42,10.99945714,tanfloc,11
tanfloc,4,30/05/2022,6,0.011,0.01,3476.94,14,4.83,0.9964,1340.17,6.31,3220,0.137728983,0.095422308,6.36,1150,10.65390071,0.903301176,7.1,7.11,681,1766,1345,800.56,13.30806025,2783.499086,0.919259197,0,694.01,111.65,805.66,11.79440589,tanfloc,11
tanfloc,4,31/05/2022,1,0.011,0.01,0,0,1304,0,0,7,1816,0.097435391,0.070895522,7.21,669,5.594365672,0.636458132,7,7.21,669,1816,1304,800.44,6.989113078,0,0.635373916,14,730.46,78.91,809.37,8.789840822,control,11
tanfloc,4,31/05/2022,2,0.011,0.01,993.75,4,192.1,0.8527,1111.9,6.85,2290,0.114133722,0.09261658,7.18,601,8.564255181,0.893647728,7,7.21,669,1816,1304,800.29,10.7014397,795.2881875,0.892251356,10,717.27,92.47,809.74,9.58348006,tanfloc,11
tanfloc,4,31/05/2022,3,0.011,0.01,1490.79,6,17.32,0.9867,1286.68,6.76,2520,0.117027581,0.098723976,6.86,884,9.358045668,0.937667247,7,7.21,669,1816,1304,800.2,11.69463343,1192.930158,0.936260511,8,714.82,94.79,809.61,9.98013496,tanfloc,11
tanfloc,4,31/05/2022,4,0.011,0.01,1987.59,8,3.68,0.9972,1300.32,6.65,2710,0.126910824,0.095474272,6.67,936,9.812845629,0.945513222,7,7.21,669,1816,1304,800.25,12.26222509,1590.568898,0.944149383,6,705.72,102.78,808.5,10.37832724,tanfloc,11
tanfloc,4,31/05/2022,5,0.011,0.01,2484.56,10,4.83,0.9963,1299.17,6.41,2920,0.13518715,0.09039548,6.58,1105,9.905536723,0.919243298,7,7.21,669,1816,1304,800.23,12.37836212,1988.219449,0.917965594,4,700.64,109.58,810.22,10.77575082,tanfloc,11
